"Package","Version","Priority"
"base","3.6.0","base"
"BiocGenerics","0.32.0",NA
"BiocManager","1.30.27",NA
"BiocVersion","3.10.1",NA
"brew","1.0-10",NA
"codetools","0.2-20","recommended"
"compiler","3.6.0","base"
"datasets","3.6.0","base"
"DBI","1.2.3",NA
"devtools","2.4.1",NA
"ellipse","0.5.0",NA
"evaluate","1.0.5",NA
"graphics","3.6.0","base"
"grDevices","3.6.0","base"
"grid","3.6.0","base"
"limma","3.42.2",NA
"methods","3.6.0","base"
"parallel","3.6.0","base"
"pkgconfig","2.0.3",NA
"plogr","0.2.0",NA
"R6","2.6.1",NA
"remotes","2.3.0",NA
"rprojroot","2.1.1",NA
"splines","3.6.0","base"
"stats","3.6.0","base"
"stats4","3.6.0","base"
"tcltk","3.6.0","base"
"tools","3.6.0","base"
"utils","3.6.0","base"
"withr","3.0.2",NA
